open_time,open,high,low,close,volume,close_time,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,bb_basis,bb_standard_deviation,bb_upper,bb_lower,pvo_fast_volume_ema,pvo_slow_volume_ema,pvo,pvo_signal,pvo_histogram
2026-06-30 09:45:00+00:00,59360.28,59420.0,59360.27,59374.96,83.17316,2026-06-30 09:59:59.999000+00:00,4938979.8378449,15474,33.26654,1975358.8061272,,,,,83.17316,83.17316,0.0,0.0,0.0
2026-06-30 10:00:00+00:00,59374.96,59413.0,59313.47,59370.99,115.53604,2026-06-30 10:14:59.999000+00:00,6859607.5480041,20407,56.56301,3358584.3258853,,,,,88.1520646153846,85.57041037037037,3.0169941149518658,0.6033988229903732,2.4135952919614927
2026-06-30 10:15:00+00:00,59370.98,59420.0,59338.0,59371.99,41.87144,2026-06-30 10:29:59.999000+00:00,2486115.006509,18692,20.95372,1244076.346869,,,,,81.03196852071005,82.33344960219479,-1.580744020532384,0.16657025428582173,-1.7473142748182058
2026-06-30 10:30:00+00:00,59371.98,59372.94,59287.29,59334.0,63.31987,2026-06-30 10:44:59.999000+00:00,3756464.8586487,16432,20.94264,1242381.7577758,,,,,78.30703028675465,80.92503629832851,-3.235100200539457,-0.5137638366792341,-2.721336363860223
2026-06-30 10:45:00+00:00,59334.0,59400.61,59286.36,59334.01,79.67447,2026-06-30 10:59:59.999000+00:00,4728567.6670355,22187,28.89109,1714606.3975195,,,,,78.51740562725394,80.83240175771158,-2.8639457446738406,-0.9838002182781554,-1.880145526395685
2026-06-30 11:00:00+00:00,59334.01,59413.27,59322.0,59388.25,59.78054,2026-06-30 11:14:59.999000+00:00,3549780.1583246,19809,36.32664,2157236.0997626,,,,,75.63481091536872,79.27300459047369,-4.589448443262585,-1.7049298632750414,-2.8845185799875432
2026-06-30 11:15:00+00:00,59388.26,59396.0,59196.0,59223.31,81.52603,2026-06-30 11:29:59.999000+00:00,4832441.5509703,29944,33.12947,1963840.4648928,,,,,76.5411523130043,79.43989536154972,-3.6489764184010425,-2.0937391743002416,-1.5552372441008009
2026-06-30 11:30:00+00:00,59223.31,59275.0,59123.01,59249.14,188.86585,2026-06-30 11:44:59.999000+00:00,11180009.0917103,36228,88.94364,5265003.8271717,,,,,93.82187503408056,87.54552163106456,7.169245537728235,-0.2411422318945462,7.410387769622782
2026-06-30 11:45:00+00:00,59249.14,59340.0,59158.43,59192.7,136.59914,2026-06-30 11:59:59.999000+00:00,8095251.4742094,33762,67.97141,4028028.3027545,,,,,100.4029927211451,91.17912299172644,10.11620799451605,1.8303278133875729,8.285880181128476
2026-06-30 12:00:00+00:00,59192.71,59192.71,59000.06,59009.9,384.68801,2026-06-30 12:14:59.999000+00:00,22721747.851263,52137,196.39757,11600085.0084484,,,,,144.13914922558433,112.92052202937633,27.646548771786993,6.993572005067458,20.652976766719533
2026-06-30 12:15:00+00:00,59009.9,59079.96,58760.16,58865.92,745.66012,2026-06-30 12:29:59.999000+00:00,43955629.6791622,75301,181.22653,10677314.3802153,,,,,236.68083703703292,159.79012187905215,48.11981757932487,15.21882111991894,32.900996459405924
2026-06-30 12:30:00+00:00,58865.92,58897.79,58776.33,58843.5,220.02217,2026-06-30 12:44:59.999000+00:00,12945652.2919797,62149,121.0983,7125385.1015104,,,,,234.1179651851817,164.25175507319645,42.53605088167878,20.68226707227091,21.853783809407872
2026-06-30 12:45:00+00:00,58843.5,58853.55,58403.51,58412.0,693.02795,2026-06-30 12:59:59.999000+00:00,40584584.5815411,91979,233.14669,13657501.9733279,,,,,304.71950131053836,203.42036210481155,49.79793475814031,26.50540060944479,23.292534148695516
2026-06-30 13:00:00+00:00,58411.99,58658.55,58322.63,58458.1,574.5,2026-06-30 13:14:59.999000+00:00,33601242.9333039,95941,289.35734,16927097.2539623,,,,,346.2241934166094,230.90774268964032,49.94048678651899,31.192417844859634,18.748068941659355
2026-06-30 13:15:00+00:00,58458.11,58600.0,58454.0,58517.0,330.30602,2026-06-30 13:29:59.999000+00:00,19330256.6895649,46716,206.61229,12091814.2211079,,,,,343.77524366020793,238.27057804596328,44.27935101323858,33.809804478535426,10.469546534703156
2026-06-30 13:30:00+00:00,58517.0,58762.0,58228.33,58570.01,1020.54739,2026-06-30 13:44:59.999000+00:00,59627540.1778876,149459,496.33469,29005164.9526154,,,,,447.89403540479134,296.21700856107714,51.204698737763344,37.28878333038101,13.915915407382336
2026-06-30 13:45:00+00:00,58570.0,58802.66,58462.4,58737.18,579.15527,2026-06-30 13:59:59.999000+00:00,33962887.7955839,113704,346.38341,20312959.0566072,,,,,468.08807149636186,317.1753982972936,47.58019506217042,39.34706567673889,8.233129385431525
2026-06-30 14:00:00+00:00,58737.17,59276.6,58655.0,58995.99,656.63952,2026-06-30 14:14:59.999000+00:00,38720664.254102,143863,382.05551,22528462.5038993,,,,,497.0959866507677,342.3208887937904,45.21345407881662,40.52034335715444,4.69311072166218
2026-06-30 14:15:00+00:00,58996.0,59154.27,58894.08,59039.99,379.39768,2026-06-30 14:29:59.999000+00:00,22405412.9826676,77938,230.01642,13585386.0530986,,,,,478.9885548583419,345.06731777202816,38.81017708399438,40.17831010252243,-1.3681330185280487
2026-06-30 14:30:00+00:00,59040.0,59100.0,58586.57,58919.4,404.55648,2026-06-30 14:44:59.999000+00:00,23804365.2697592,88884,164.75064,9692223.2137609,59010.417,325.1689331270767,59660.75486625415,58360.07913374585,467.537466418597,349.4739223815076,33.78321999894569,38.89929208180709,-5.1160720828614
2026-06-30 14:45:00+00:00,58919.41,58919.41,58433.0,58482.81,339.39638,2026-06-30 14:59:59.999000+00:00,19882992.3839307,82491,143.1478,8385916.5855809,58965.809499999996,333.19496303928656,59632.19942607857,58299.41957392142,447.82345312342824,348.72743776065516,28.416466452744796,36.80272695599463,-8.386260503249833
2026-06-30 15:00:00+00:00,58482.81,58600.0,58201.0,58441.99,549.03494,2026-06-30 15:14:59.999000+00:00,32040432.4092249,110624,211.39264,12337431.4751468,58919.3595,338.18938842718256,59595.73827685436,58242.980723145636,463.3944511044393,363.5650305191251,27.458477082564944,34.93387698130869,-7.475399898743749
2026-06-30 15:15:00+00:00,58442.0,58490.0,58204.0,58384.55,446.24043,2026-06-30 15:29:59.999000+00:00,26031961.6813413,89100,222.86705,13000517.4032,58869.9875,340.57570325663534,59551.138906513275,58188.83609348673,460.7553709345256,369.6891341843751,24.633192682566918,32.87374012156034,-8.24054743899342
2026-06-30 15:30:00+00:00,58384.55,58500.99,58266.01,58444.0,203.05239,2026-06-30 15:44:59.999000+00:00,11858231.0752258,53758,114.05991,6661084.4055758,58825.4875,335.1409362473525,59495.76937249471,58155.2056275053,421.1087584830601,357.3456716521992,17.843531316903945,29.867698360629063,-12.024167043725118
2026-06-30 15:45:00+00:00,58444.01,58796.0,58347.37,58381.99,364.82255,2026-06-30 15:59:59.999000+00:00,21369445.8463595,76664,173.84888,10183705.4676107,58777.8865,327.0448546036952,59431.976209207394,58123.79679079261,412.44934179335854,357.89951449277703,15.241660044688999,26.942490697441052,-11.700830652752053
2026-06-30 16:00:00+00:00,58382.0,58632.0,58362.0,58406.0,217.93793,2026-06-30 16:14:59.999000+00:00,12751674.5504973,56791,102.23523,5981513.2814995,58728.774,304.68688452902296,59338.14776905804,58119.40023094195,382.5245092097649,347.5319897155343,10.068862875867369,23.567765133126315,-13.498902257258946
2026-06-30 16:15:00+00:00,58406.0,58470.09,58254.21,58316.0,303.81267,2026-06-30 16:29:59.999000+00:00,17726030.1153284,43283,122.82037,7165763.290477,58683.4085,295.07099993518847,59273.55049987038,58093.26650012962,370.4149954851857,344.2935215884577,7.586978046003338,20.37160771570172,-12.784629669698383
2026-06-30 16:30:00+00:00,58316.0,58480.0,58241.79,58324.77,401.7362,2026-06-30 16:44:59.999000+00:00,23434164.3877864,56139,156.35362,9122490.3934418,58637.19,274.51633364884145,59186.22266729768,58088.15733270232,375.2336423336187,348.5485348041275,7.656066477079688,17.828499467977316,-10.17243299089763
