utc_hour,observations,movement_events,movement_event_rate,mean_movement_ratio,median_movement_ratio,percentile_90_ratio,maximum_movement_ratio,event_rate_rank
0,1820,180.0,9.89010989010989,0.3310289311383296,0.2596655560398665,0.5980457195318778,3.181903798205879,8
1,1821,152.0,8.347062053816584,0.30586340919935573,0.2378757891283721,0.5521447846502432,5.8628816932234935,12
2,1819,122.0,6.706981858163827,0.27290643814741916,0.2097798830391247,0.4962227997909262,4.508122732195778,15
3,1818,80.0,4.400440044004401,0.23529826277454485,0.1821784073319545,0.42694250284228175,2.3795850087868198,20
4,1818,62.0,3.4103410341034106,0.22406283852754041,0.1823371099144257,0.4045153891785991,2.325806139529858,23
5,1819,49.0,2.6937877954920286,0.21760351434114023,0.179547319978535,0.39725852111776,1.923963615142101,24
6,1819,69.0,3.7932930181418363,0.23040331993190608,0.1884180819991619,0.42001691945531905,2.147645519959162,22
7,1818,79.0,4.3454345434543455,0.24635487027945402,0.1957646590300075,0.45322765989043096,2.1872607113008407,21
8,1818,101.0,5.555555555555555,0.27121040121496676,0.22056378644373736,0.4830811036867484,2.3630141297235,17
9,1818,114.0,6.270627062706271,0.26757321198545836,0.20631475654092063,0.5089573318581988,2.798220309397017,16
10,1819,98.0,5.387575590984057,0.2599954301793464,0.2098184461237743,0.4773218612177171,2.351304651464128,19
11,1819,100.0,5.497526113249037,0.27573985442990684,0.2294653287845838,0.47874188280741364,2.8204348268857182,18
12,1818,204.0,11.221122112211221,0.347038792080716,0.27446442397257453,0.6246356469883204,3.924968596250923,6
13,1818,321.0,17.656765676567655,0.411514039579344,0.33348206321958507,0.7573695692669488,2.474400775703511,3
14,1818,464.0,25.522552255225524,0.48235013532105353,0.3825867744787682,0.90234334160341,7.103128732248924,1
15,1818,356.0,19.58195819581958,0.4347093437483618,0.3416508689927733,0.7994950956680748,3.111083229580521,2
16,1818,254.0,13.97139713971397,0.38809837616269777,0.32191554554954466,0.6804456335261797,2.8199280060245964,4
17,1818,222.0,12.211221122112212,0.3553795160333333,0.278336457161358,0.6458514848001168,5.626380197314392,5
18,1818,185.0,10.176017601760176,0.337702448274844,0.2666737754950526,0.6023240583276417,3.723077066611159,7
19,1818,169.0,9.295929592959295,0.3289627233305011,0.2614106744273167,0.5829915214020277,4.610127720737046,10
20,1819,171.0,9.400769653655855,0.32026244158636463,0.254330391055712,0.5818360419433908,4.934370080710878,9
21,1819,145.0,7.971412864211105,0.3025002278535525,0.2367934892126677,0.5626222055056352,4.3738162478900176,13
22,1819,168.0,9.235843870258384,0.304088423942756,0.2315173593201256,0.5758009036232704,4.0484424080677535,11
23,1820,133.0,7.307692307692308,0.2809433119108354,0.21366727044078077,0.5229129417476939,3.1711548351753143,14
