year,utc_hour,observations,movement_events,movement_event_rate,median_movement_ratio
2021,0,360,46.0,12.777777777777777,0.33740932991107636
2021,1,361,24.0,6.64819944598338,0.2458836289407623
2021,2,359,21.0,5.8495821727019495,0.2181994981972822
2021,3,358,25.0,6.983240223463687,0.22623736381749587
2021,4,358,15.0,4.189944134078212,0.23127237996013775
2021,5,359,14.0,3.8997214484679668,0.2210325438878636
2021,6,359,17.0,4.735376044568245,0.2256110076586882
2021,7,358,20.0,5.58659217877095,0.23529903227304666
2021,8,358,31.0,8.659217877094973,0.265630552525735
2021,9,358,29.0,8.100558659217876,0.2540552128156258
2021,10,358,33.0,9.217877094972067,0.24803900622511765
2021,11,358,16.0,4.4692737430167595,0.2501584577410636
2021,12,358,37.0,10.335195530726256,0.2796235982809918
2021,13,358,35.0,9.776536312849162,0.28517165757606366
2021,14,358,41.0,11.452513966480447,0.2782306508424929
2021,15,358,33.0,9.217877094972067,0.2709425814599211
2021,16,358,26.0,7.262569832402235,0.29509553817817413
2021,17,358,21.0,5.865921787709497,0.21810746802911063
2021,18,358,21.0,5.865921787709497,0.2233231486857556
2021,19,358,20.0,5.58659217877095,0.23151521282798726
2021,20,359,34.0,9.47075208913649,0.2614290495121616
2021,21,359,14.0,3.8997214484679668,0.247068723005468
2021,22,359,22.0,6.128133704735376,0.2406066097110484
2021,23,360,24.0,6.666666666666667,0.24820328606405415
2022,0,365,39.0,10.684931506849315,0.2723424444125713
2022,1,365,27.0,7.397260273972603,0.2365247315820912
2022,2,365,15.0,4.10958904109589,0.2271552948417243
2022,3,365,13.0,3.5616438356164384,0.1883594528868066
2022,4,365,16.0,4.383561643835616,0.1821299918001771
2022,5,365,15.0,4.10958904109589,0.1812544704979448
2022,6,365,20.0,5.47945205479452,0.1956781563272684
2022,7,365,17.0,4.657534246575342,0.1988245198017372
2022,8,365,21.0,5.7534246575342465,0.2270090736013632
2022,9,365,21.0,5.7534246575342465,0.2067987637015957
2022,10,365,17.0,4.657534246575342,0.2222950786955304
2022,11,365,31.0,8.493150684931507,0.2592085116475565
2022,12,365,52.0,14.246575342465754,0.3074439649795376
